namseq,coverage
249,4821.008983180428
226,4602.113198684829
34,3868.413869693978
106,6530.095498632181
100,4422.049696300386
254,4929.2793201133145
251,3678.2207924144936
252,2630.3537803138374
247,9341.10668633235
248,7329.442786069651
208,3956.7835144927535
222,5192.120989917506
120,4448.428979980934
22,972.90950744559
36,1909.810551558753
157,2994.6493902439024
31,5092.672881355932
179,5911.8794964028775
183,1584.3296089385474
80,7427.422916666666
21,2531.24358974359
112,2000.5204678362572
18,1074.918918918919
65,41.095238095238095
194,0.3275862068965517
188,0.0
