source,target,sw
reference,38777,9377
reference,38758,9366
reference,38788,9356
reference,38789,9352
reference,38755,9273
reference,38747,9235
reference,38784,9241
reference,38757,9236
reference,38771,9185
reference,38761,9161
reference,38791,9148
reference,38767,9114
reference,38770,9105
reference,38752,9107
reference,13058,9101
reference,38760,9105
reference,38765,9103
reference,38775,9087
reference,38773,9077
reference,27323,9086
reference,38785,9082
reference,38754,9071
reference,38786,9067
reference,38759,9067
reference,27312,9065
reference,38790,9059
reference,38753,9057
reference,38768,9034
reference,25951,9053
reference,38762,9044
reference,38778,9035
reference,27904,9032
reference,38748,9029
reference,38769,9031
reference,27318,9031
reference,38781,9029
reference,38756,9030
reference,17742,9017
reference,27316,9024
reference,14138,9011
reference,14147,9008
reference,14137,9010
reference,2623,9012
reference,31738,9009
reference,27356,9008
reference,27300,8994
reference,27357,8997
reference,27324,8991
reference,14130,8987
reference,14207,8976
reference,14133,8961
reference,14164,8967
reference,38751,8956
reference,14156,8948
reference,14123,8955
reference,14153,8949
reference,13880,8946
reference,14134,8946
reference,13950,8931
reference,27225,8940
reference,27345,8927
reference,14233,8920
reference,27310,8920
reference,14113,8900
reference,14472,8835
reference,14114,8792
reference,14132,8687
reference,38783,8400
reference,27361,8342
reference,14104,8278
reference,14047,7843
reference,14473,7802
reference,38776,7789
reference,27381,7733
reference,14106,7717
reference,27344,7619
reference,27330,7420
reference,27040,7335
reference,14518,7296
reference,27255,7249
reference,27238,7096
reference,14234,7070
reference,14210,6836
reference,14175,6725
reference,27221,6676
reference,14235,6486
reference,14040,6319
reference,14431,6316
reference,27302,6244
reference,14196,6255
reference,14247,6224
reference,27232,6222
reference,27286,6182
reference,27417,6167
reference,14019,6171
reference,14458,6168
reference,13760,6155
reference,14457,6144
reference,13944,6093
reference,27418,6053
reference,14177,6041
reference,14078,6053
reference,27364,6023
reference,14433,6004
reference,14553,6006
reference,26979,5968
reference,14274,5911
reference,14517,5889
reference,27053,5824
reference,14254,5797
reference,27206,5744
reference,14270,5739
reference,27249,5705
reference,27239,5669
reference,14681,5667
reference,14173,5659
reference,13971,5630
reference,27250,5616
reference,13954,5464
reference,27303,5406
reference,14285,5381
reference,14028,5235
reference,14006,5230
reference,27049,5059
reference,14498,5059
reference,27190,4942
reference,27285,4867
reference,14072,4843
reference,14051,4843
reference,14020,4641
reference,13955,4514
reference,27291,4496
reference,27262,4494
reference,27403,4470
reference,14377,4449
reference,14511,4424
reference,27072,4407
reference,27402,4420
38777,38758,9271
38777,38788,9262
38777,38789,9256
38777,38755,9137
38777,38747,9099
38777,38784,9109
38777,38757,9100
38777,38771,9051
38777,38761,9031
38777,38791,9020
38777,38767,8982
38777,38770,8971
38777,38752,8975
38777,13058,8969
38777,38760,8971
38777,38765,8969
38777,38775,8955
38777,38773,8943
38777,27323,8952
38777,38785,8948
38777,38754,8939
38777,38786,8939
38777,38759,8933
38777,27312,8931
38777,38790,8925
38777,38753,8923
38777,38768,8905
38777,25951,8919
38777,38762,8912
38777,38778,8901
38777,27904,8900
38777,38748,8895
38777,38769,8897
38777,27318,8897
38777,38781,8899
38777,38756,8896
38777,17742,8883
38777,27316,8890
38777,14138,8877
38777,14147,8876
38777,14137,8876
38777,2623,8880
38777,31738,8875
38777,27356,8876
38777,27300,8860
38777,27357,8863
38777,27324,8861
38777,14130,8855
38777,14207,8846
38777,14133,8827
38777,14164,8835
38777,38751,8822
38777,14156,8816
38777,14123,8823
38777,14153,8817
38777,13880,8816
38777,14134,8816
38777,13950,8799
38777,27225,8806
38777,27345,8795
38777,14233,8788
38777,27310,8788
38777,14113,8770
38777,14472,8703
38777,14114,8662
38777,14132,8559
38777,38783,8280
38777,27361,8226
38777,14104,8158
38777,14047,7729
38777,14473,7688
38777,38776,7677
38777,27381,7623
38777,14106,7605
38777,27344,7511
38777,27330,7308
38777,27040,7229
38777,14518,7190
38777,27255,7145
38777,27238,6992
38777,14234,6964
38777,14210,6734
38777,14175,6627
38777,27221,6580
38777,14235,6388
38777,14040,6225
38777,14431,6224
38777,27302,6156
38777,14196,6167
38777,14247,6134
38777,27232,6130
38777,27286,6092
38777,27417,6079
38777,14019,6081
38777,14458,6078
38777,13760,6067
38777,14457,6054
38777,13944,6005
38777,27418,5963
38777,14177,5953
38777,14078,5963
38777,27364,5935
38777,14433,5916
38777,14553,5918
38777,26979,5884
38777,14274,5827
38777,14517,5803
38777,27053,5738
38777,14254,5713
38777,27206,5658
38777,14270,5655
38777,27249,5627
38777,27239,5587
38777,14681,5583
38777,14173,5577
38777,13971,5548
38777,27250,5538
38777,13954,5386
38777,27303,5324
38777,14285,5299
38777,14028,5161
38777,14006,5156
38777,27049,4987
38777,14498,4983
38777,27190,4876
38777,27285,4795
38777,14072,4771
38777,14051,4773
38777,14020,4571
38777,13955,4450
38777,27291,4432
38777,27262,4426
38777,27403,4404
38777,14377,4383
38777,14511,4358
38777,27072,4339
38777,27402,4354
38758,38788,9265
38758,38789,9264
38758,38755,9145
38758,38747,9101
38758,38784,9111
38758,38757,9104
38758,38771,9051
38758,38761,9027
38758,38791,9014
38758,38767,8986
38758,38770,8974
38758,38752,8977
38758,13058,8975
38758,38760,8973
